"id","url","name","posted_date","amenities","price","price_per_sq_ft","currency","description","seo_description","landmark_details","landmark_details/0","landmark_details/1","landmark_details/2","landmark_details/3","landmark_details/4","landmark_details/5","landmark_details/6","landmark_details/7","landmark","location","owner_name","company_name","carpet_area","land_area_unit","balconies","bathrooms","facing","floors","city_name","bedrooms","address","covered_area","carp_area_unit","cov_area_unit","operating_since","image_url"
"71698429","1950-Sq-ft-Warehouse-Godown-FOR-Sale-Chamrajpet-in-Bangalore&id=4d423731363938343239"," Warehouse/ Godown for Resale in Chamrajpet","2025-09-04T17:35:01.000Z",,"40000000","20513","₹","  Warehouse/ Godown is available for Sale in Chamrajpet, Bangalore for 4.0 Crore(s)","Check out this warehouse available for sale in Chamrajpet which is spread over a super area of 1950 square feet at an affordable price of ₹4 Cr. Once can view this warehouse on sale at the following address: Chamrajpet, Bangalore - Central, Karnataka.",,"19202|?Adarsh Institute of Management Information Technology","19202|Bhavan","19203|St Marys Maternity Hospital","19210|TR Mill Bus Stop",,,,,,"12.958692,77.5640539","Jyothi Sairam",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1950",,"12800",,
"73045269","868-Sq-ft-Warehouse-Godown-FOR-Sale-Mahadevapura-in-Bangalore&id=4d423733303435323639"," Warehouse/ Godown for Resale in Mahadevapura","2025-09-08T17:35:02.000Z",,"11000000","12673","₹","The warehouse is available for sale. It covered an area of 868 sq-ft, it is a good location property. Please contact for more details.","This well built warehouse in Mahadevapura is available for sale, and has a super area of 868 square feet. The warehouse is available at an affordable price of ₹1.10 Cr. For further details on this godown for sale, the address is Mahadevapura, Bangalore - Central, Karnataka.",,"19201|Dyavasandra Industrial Area","19201|HPCL Retail & Direct Sales Regional Office","19202|Capital Public School","19202|Mtb Jnana Jyothi Vidyanikethan","19203|Slv Speciality Clinic","19203|MTB Orthopaedic Hospital","19210|KR Puram Railway Station Bus Stop","19210|K.R. Puram Metro Station",,"12.99130726,77.68758598","senthil kumar",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","868",,"12800",,
"78398153","1800-Sq-ft-Warehouse-Godown-FOR-Sale-Horamavu-Main-Road-in-Bangalore&id=4d423738333938313533"," Warehouse/ Godown for New Property in Horamavu Main Road","2025-07-11T17:35:02.000Z",,"13000000","7222","₹","Introducing a newly available warehouse/godown for sale on Horamavu Main Road, Bangalore—a prime opportunity for businesses seeking ample space. This property is perfectly suited for warehouse or godown purposes, offering flexibility and convenience for your operational needs.Property Specifications and facilities Unlock the potential of this impressive property featuring a plot area of 1000 sqft and a generous super built-up area of 1800 sqft. Designed with functionality in mind, this ground floor space offers a spacious open hall, perfect for a variety of commercial applications, from a dynamic workspace to a storage facility.With two washrooms on-site, convenience is prioritized. The 20-foot ceiling height creates an expansive feel, allowing for versatile setup options, while the durable sheet roofing and concrete flooring ensure a sturdy foundation for your operations. Enjoy the peace of mind that comes with 24-hour water supply, making this property not only practical but ready for immediate use.Locality Nestled near the well-known Reliance Supermarket, this locality offers a vibrant and accessible community life. With Sparsh Hospital located within a convenient 400 meters, residents have quick access to essential healthcare services, ensuring peace of mind for families.Financial services are also easily accessible, with several banks and ATMs located nearby, making daily transactions hassle-free. Public transport is abundant, with buses and auto-rickshaws readily available, providing excellent connectivity to other parts of the city.","Located in a prime area of Horamavu Main Road, this warehouse has access to all social nearby amenities. It is spread over a super area of 1800 square feet and comes at a sale price of ₹1.30 Cr. The following address can be used to learn more about this warehouse for sale: Horamavu Main Road, Bangalore - East, Karnataka.",,"19203|Dental Clinic",,,,,,,,,"13.02977346,77.66568557","Atiullah",,,"12850",,,,"1","Bangalore",,"Bangalore, Karnataka","1800",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2025/Mar/15/Photo_h180_w240/78398153_4_WhatsApp-Image-2025-03-15-at-12-04-47-PM_180_240.jpeg"
"77977693","664-Sq-ft-Warehouse-Godown-FOR-Sale-in-Bangalore&id=4d423737393737363933"," Warehouse/ Godown for Resale in ","2025-08-28T17:35:01.000Z",,"66400000","100000","₹","The warehouse is available for sale. It has covered an area of 664 sq-ft, it is a good location property. Please contact for more details.","Check out this warehouse available for sale in 284/3 old tharagpet which is spread over a super area of 664 square feet at an affordable price of ₹6.64 Cr. The following address Bangalore, Karnataka, is where you may view the warehouse space for sale.",,,,,,,,,,,,"Latha Latha",,,,,,,"4","Bangalore",,"Bangalore, Karnataka","664",,"12800",,
"68850113","15000-Sq-ft-Warehouse-Godown-FOR-Sale-Papareddipalya-in-Bangalore&id=4d423638383530313133"," Warehouse/ Godown for Resale in Papareddipalya","2025-08-27T17:35:01.000Z","Air Conditioned,Internet/Wi-Fi Connectivity,Conference Room","53000000","3533","₹","  Warehouse/ Godown is available for Sale in Papareddipalya, Bangalore for 5.3 Crore(s)","Located in a prime area of Papareddipalya, this warehouse has access to all social nearby amenities. It is spread over a super area of 15000 square feet and comes at a sale price of ₹5.30 Cr. A few facilities air conditioned,internet/wi-fi connectivity,conference room are brought in by the warehouse space. Once can view this warehouse on sale at the following address: Papareddipalya, Bangalore - West, Karnataka. The warehouse shares proximity with famous landmarks like, vishal mart, deepa complex.",,"19202|Ssvn Public School","19203|Essential Hospital",,,,,,,"Vishal Mart, Deepa complex","12.97537456,77.50572438","Nanda",,,,,,"East","3","Bangalore",,"Bangalore, Karnataka",,,"12800",,
"77913829","2400-Sq-ft-Warehouse-Godown-FOR-Sale-Kengeri-in-Bangalore&id=4d423737393133383239"," Warehouse/ Godown for Resale in Kengeri","2025-08-23T17:35:01.000Z",,"21000000","8750","₹","  Warehouse/ Godown is available for Sale in Kengeri, Bangalore for 2.1 Crore(s)","This warehouse in the area of Kengeri is spread over a super area of 2400 square feet. The ongoing rate for this warehouse is ₹2.10 Cr. The following address can be used to learn more about this warehouse for sale: Kengeri, Bangalore - South, Karnataka.",,"19202|Jain International Residential School","19202|Chinmaya Vidyalaya Banashankari","19203|Kengeri Government Hospital","19203|H.K. Hospital","19210|Kengeri Police Station Bus Stop",,,,,"12.90266259,77.48123034","Nagesh",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2400",,"12800",,
"79242315","1500-Sq-ft-Warehouse-Godown-FOR-Sale-Kalasipalya-in-Bangalore&id=4d423739323432333135"," Warehouse/ Godown for Resale in Kalasipalya","2025-09-02T17:35:02.000Z",,"30000000","20000","₹","  Warehouse/ Godown is available for Sale in Kalasipalya, Bangalore for 3.0 Crore(s)","This warehouse is available for sale in Kalasipalya is spread across a super area of 1500 square feet, and is priced at a reasonable rate of ₹3 Cr. The following address Kalasipalya, Bangalore - Central, Karnataka, is where you may view the warehouse space for sale.",,"19202|Nobal English School","19203|Popular Nursing Home","19210|Krishna Rajendra Market Metro Station","19210|Krishna Rajendra Market Metro Station, Bangalore",,,,,,"12.95982192,77.57896362","Sagar Raj",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1500",,"12800",,
"71655465","60000-Sq-ft-Warehouse-Godown-FOR-Sale-Begur-in-Bangalore&id=4d423731363535343635"," Warehouse/ Godown for Resale in Begur","2025-09-01T17:35:01.000Z",,"180000000","3000","₹","  Warehouse/ Godown is available for Sale in Begur, Bangalore for 18.0 Crore(s)","This warehouse in the area of Begur is spread over a super area of 60000 square feet. The ongoing rate for this warehouse is ₹18 Cr. For further details on this warehouse space for sale, the address is Begur, Bangalore - South, Karnataka.",,"19202|Brilliant Academy School","19202|The Salonee Public School","19203|Jayashree Multi Speciality Hospital","19203|Vijayashree Multi Speciality Hospital","19210|Chikkabegur Metro Station","19210|Begur Vishwapriya Layout Junction Bus Stop",,,,"12.877316,77.6381045","raja gopal",,,,,,,,"Bangalore",,"Bangalore, Karnataka",,,"12800",,
"74334499","1200-Sq-ft-Warehouse-Godown-FOR-Sale-Shamanna-Garden-in-Bangalore&id=4d423734333334343939"," Warehouse/ Godown for Resale in Shamana Garden","2025-08-19T22:30:40.000Z",,"24000000","20000","₹","The warehouse is available for sale. It covered an area of 1200 sq-ft, it is a good location property. Please contact for more details.","This warehouse is available for sale in Shamanna Garden is spread across a super area of 1200 square feet, and is priced at a reasonable rate of ₹2.40 Cr. Once can view this warehouse on sale at the following address: Shamanna Garden, Bangalore - Central, Karnataka.",,,,,,,,,,,"12.94917803,77.59954827","Nasir Khan",,,,,,,"3","Bangalore",,"Bangalore, Karnataka","1200",,"12800",,
"73594863","5400-Sq-ft-Warehouse-Godown-FOR-Sale-Ranganathapura-Kamakshipalya-in-Bangalore&id=4d423733353934383633"," Warehouse/ Godown for Resale in Ranganathapura Kamakshipalya","2025-09-01T17:35:01.000Z",,"35000000","6481","₹","The warehouse is available for sale. It covered an area of 5400 sq-ft, it is a good location property. Please contact for more details.","This warehouse is available for sale in Ranganathapura Kamakshipalya is spread across a super built up area of 5400 square feet, and is priced at a reasonable rate of ₹3.50 Cr. For further details on this godown for sale, the address is Ranganathapura Kamakshipalya, Bangalore - West, Karnataka.",,,,,,,,,,,"12.98123963,77.52986999","Chandrashekar H R",,,,,,,"3","Bangalore",,"Bangalore, Karnataka","5400",,"12800",,
"73691919","2400-Sq-ft-Warehouse-Godown-FOR-Sale-Sunkadakatte-in-Bangalore&id=4d423733363931393139"," Warehouse/ Godown for Resale in Sunkadakatte","2025-09-06T17:35:02.000Z",,"22000000","9167","₹","The warehouse is available for sale. It is a good location property. Please contact for more details.","This warehouse in the area of Sunkadakatte is spread over a super area of 2400 square feet. The ongoing rate for this warehouse is ₹2.20 Cr. For further details on this warehouse for sale, the address is Sunkadakatte, Bangalore - West, Karnataka.",,"19201|ARS Textiles","19202|Gangothri International Public School","19202|Vidyashree High School","19203|Shantha multi speciality hospital","19203|Sri Lakshmi Multi Speciality Hospital",,,,,"12.9883385,77.499599","vinod",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","2400",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Jul/06/Photo_h180_w240/73691919_1_IMG20240614102840_180_240.jpg"
"76737287","31504-Sq-ft-Warehouse-Godown-FOR-Sale-Kumbalgodu-in-Bangalore&id=4d423736373337323837"," Warehouse/ Godown for Resale in Kumbalgodu","2025-08-22T22:30:39.000Z",,"615000","20","₹","North East Corner Building, Water Harvesting Available, More than 4 trucks can be parked, 55 and 40 ft roads along the warehouse, 36 ft clear height, dedicated office area, staff room and security room with 4 toilets.","Check out this warehouse available for sale in Kumbalgodu which is spread over a super area of 31504 square feet at an affordable price of ₹6.2 Lac. Once can view this warehouse on sale at the following address: Kumbalgodu, Bangalore - West, Karnataka. The warehouse is adjacent to nearby hp petropumb, metrostation 3 km far i.e. challaghatta.",,"19201|Kumbalgudu Industrial Area","19202|Rajarajeswari Dental College & Hospital","19202|Rajarajeswari College of Engineering Bangalore","19203|Govt Primary Health Care Center","19210|KSRTC Bus stop, Kumbalagodu",,,,"Nearby HP Petropumb, Metrostation 3 km far i.e. challaghatta","12.87938554,77.4451746","SHEETAL KUMAR DUGAR",,,,,,,"2","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2024/Dec/27/Photo_h180_w240/76737287_6_MG1723_180_240.jpg"
"77960053","1200-Sq-ft-Warehouse-Godown-FOR-Sale-Bhuvaneshwari-Nagar-Binnipete-in-Bangalore&id=4d423737393630303533"," Warehouse/ Godown for Resale in Bhuvaneshwari Nagar Binnipete","2025-08-26T17:35:01.000Z",,"10000000","8333","₹","  Warehouse/ Godown is available for Sale in Bhuvaneshwari Nagar Binnipete, Bangalore for 1.0 Crore(s)","This warehouse is available for sale in Bhuvaneshwari Nagar Binnipete is spread across a super built up area of 1200 square feet, and is priced at a reasonable rate of ₹1 Cr. For further details on this warehouse for sale, the address is Bhuvaneshwari Nagar Binnipete, Bangalore - Central, Karnataka.",,,,,,,,,,,"12.97024239,77.5573722","Ravi",,,,,,,,"Bangalore",,"Bangalore, Karnataka","1200",,"12800",,
"44138089","3600-Sq-ft-Warehouse-Godown-FOR-Sale-Ring-Road-in-Bangalore&id=4d423434313338303839"," Warehouse/ Godown for Resale in Outer Ring Road","2025-08-18T14:05:39.000Z",,"14400000","4000","₹"," In the locality of Ring Road, a Warehouse/ Godown is available for Sale with all the facility and good connectivity. Suitable for any business/offices. This space is available at a very reasonable price. Take advantage of the offer and contact now to get the best deal. ","This warehouse in the area of Ring Road is spread over a super area of 3600 square feet. The ongoing rate for this warehouse is ₹1.44 Cr. The following address can be used to learn more about this warehouse for sale: Ring Road, Bangalore - South, Karnataka. high tower power swaryapalla phase 2 is just adjacent to this warehouse.",,"19201|Embassy Techvillage","19202|Apollo Convent","19202|New Horizon Gurukul",,,,,,"High Tower Power Swaryapalla Phase 2","12.9229595,77.5562663","Naveed ahmed",,,,,,,,"Bangalore",,"Bangalore, Karnataka","3600",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2019/Aug/16/Photo_h180_w240/44138089_2_IMG-20190806-WA0000_180_240.jpg"
"68617125","1200-Sq-ft-Warehouse-Godown-FOR-Sale-in-Bangalore&id=4d423638363137313235"," Warehouse/ Godown for Resale in ","2025-08-16T17:35:02.000Z",,"10000000","8333","₹","  Warehouse/ Godown is available for Sale in , Bangalore for 1.0 Crore(s)","Located in a prime area of Srinivasa Nagar, Hal Layout, Singasandra, Bengaluru, Karnataka 560068, this warehouse has access to all social nearby amenities. It is spread over a super area of 1200 square feet and comes at a sale price of ₹1 Cr. The following address Bangalore, Karnataka, is where you may view the warehouse space for sale.",,,,,,,,,,,,"Syed Kausain Pasha",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","1200",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2023/Aug/15/Photo_h180_w240/68617125_1_IMG_20230815_152215_180_240.jpg"
"63815291","1050-Sq-ft-Warehouse-Godown-FOR-Sale-Kalyan-Nagar-in-Bangalore&id=4d423633383135323931"," Warehouse/ Godown for Resale in Kalyan Nagar","2025-08-18T17:35:02.000Z",,"10000000","9524","₹","The warehouse is available for sale. It covered an area of 1050 sq-ft, it is a good location property. Please contact for more details.","This warehouse is available for sale in Kalyan Nagar is spread across a super area of 1050 square feet, and is priced at a reasonable rate of ₹1 Cr. The following address Kalyan Nagar, Bangalore - East, Karnataka, is where you may view the warehouse space for sale. The warehouse is beside near kullappa circle.",,"19201|Raj Arcade","19201|Splendid Plaza - Kalyan Nagar","19202|Royale Concode Intrnational Chool","19202|Kids School The Learning World","19203|Anjani Hospital","19203|Mekhri Nursing Home","19210|Kalyananagara Bus Stand Bus Stop",,"Near kullappa circle","13.027435,77.640075","Senthil",,,,,,,"1","Bangalore",,"Bangalore, Karnataka","1050",,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Oct/25/Photo_h180_w240/63815291_2_IMG-20220918-WA0006_180_240.jpeg"
"63590695","18000-Sq-ft-Warehouse-Godown-FOR-Sale-Deepanjali-Nagar-in-Bangalore&id=4d423633353930363935"," Warehouse/ Godown for Resale in Deepanjali Nagar","2025-08-08T17:35:01.000Z",,"65000000","3611","₹","Industrial Building Warehouse Facing North, overlooking 60ft Road, the property is located nearby of 500 meters from Mysore Road Metro Station. The Property is equipped with 60HP power.","Check out this warehouse available for sale in Deepanjali Nagar which is spread over a super area of 18000 square feet at an affordable price of ₹6.50 Cr. The following address can be used to learn more about this warehouse for sale: Deepanjali Nagar, Bangalore - Central, Karnataka.",,"19202|St Michaels English School","19203|Jyothi Nursing And Maternity Home","19210|Mysore Road Metro Station, Bangalore",,,,,,,"12.95327209,77.52924013","S R",,,"12850",,,"North - East","3","Bangalore",,"Bangalore, Karnataka",,,"12800",,"https://img.staticmb.com/mbphoto/property/cropped_images/2022/Oct/10/Photo_h180_w240/63590695_2_MG_8719_180_240.jpg"
"76559339","2400-Sq-ft-Warehouse-Godown-FOR-Sale-Vijayanagar-in-Bangalore&id=4d423736353539333339"," Warehouse/ Godown for Resale in Vijayanagar","2025-08-17T17:35:02.000Z",,"35250000","14688","₹","  Warehouse/ Godown is available for Sale in Vijayanagar, Bangalore for 3.5 Crore(s)","This well built warehouse in Vijayanagar is available for sale, and has a super area of 2400 square feet. The warehouse is available at an affordable price of ₹3.52 Cr. For further details on this warehouse space for sale, the address is Vijayanagar, Bangalore - Central, Karnataka.",,"19201|Prathik Tech Park","19201|GT World Mall - Bengaluru","19202|Akshara Little Bees School","19202|R.V. College Of Engineering","19203|Manasa Hospital","19203|Vijayanagar Hospital","19210|Attiguppe Metro Station","19210|Bus Stop At Majestic (Kempegowda Bus Station)",,"12.97245574,77.53202141","Ravindra",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2400",,"12800",,
"41028489","5000-Sq-ft-Warehouse-Godown-FOR-Sale-Chamrajpet-in-Bangalore&id=4d423431303238343839"," Warehouse/ Godown for Resale in Chamrajpet","2025-08-12T17:35:01.000Z",,"80000000","16000","₹"," This spacious Warehouse/ Godown has age of construction above 20 years. Prestigious banks like HDFC approve easy loan here. The location has easy access to, Syndicate Bank (0 km ), Geeta Home Nursing Home (0 km ), Sitadevi Ratanchand Nahar School (0 km ) and Bangalore City Railway Station (3 km ). ","Check out this warehouse available for sale in Chamrajpet which is spread over a super area of 5000 square feet at an affordable price of ₹8 Cr. For further details on this godown for sale, the address is Chamrajpet, Bangalore - Central, Karnataka. The warehouse is adjacent to near-jain temple.",,"19202|Bhavan","19202|Sitadevi Ratanchand Nahar School","19203|St Marys Maternity Hospital","19210|TR Mill Bus Stop",,,,,"Near-Jain temple","12.958692,77.5640539","Swaroop",,,,,,,,"Bangalore",,"Bangalore, Karnataka","5000",,"12800",,
"71390857","3025-Sq-ft-Warehouse-Godown-FOR-Sale-in-Bangalore&id=4d423731333930383537"," Warehouse/ Godown for Resale in ","2025-08-16T17:35:02.000Z",,"29500000","9752","₹","The warehouse is available for sale. It covered an area of 3025 sq-ft, it is a good location property. Please contact for more details.","Located in a prime area of Peenya 2nd Stage, Bangalore, this warehouse has access to all social nearby amenities. It is spread over a super area of 3025 square feet and comes at a sale price of ₹2.95 Cr. For further details on this godown for sale, the address is Bangalore, Karnataka. The warehouse is adjacent to manjushree garments.",,,,,,,,,,"Manjushree Garments",,"Ananth Bhardwaj",,,,,,,"2","Bangalore",,"Bangalore, Karnataka","3025",,"12800",,
"76559339","2400-Sq-ft-Warehouse-Godown-FOR-Sale-Vijayanagar-in-Bangalore&id=4d423736353539333339"," Warehouse/ Godown for Resale in Vijayanagar","2025-08-17T17:35:02.000Z",,"35250000","14688","₹","  Warehouse/ Godown is available for Sale in Vijayanagar, Bangalore for 3.5 Crore(s)","This well built warehouse in Vijayanagar is available for sale, and has a super area of 2400 square feet. The warehouse is available at an affordable price of ₹3.52 Cr. For further details on this warehouse space for sale, the address is Vijayanagar, Bangalore - Central, Karnataka.",,"19201|Prathik Tech Park","19201|GT World Mall - Bengaluru","19202|Akshara Little Bees School","19202|R.V. College Of Engineering","19203|Manasa Hospital","19203|Vijayanagar Hospital","19210|Attiguppe Metro Station","19210|Bus Stop At Majestic (Kempegowda Bus Station)",,"12.97245574,77.53202141","Ravindra",,,,,,,,"Bangalore",,"Bangalore, Karnataka","2400",,"12800",,
